term,weight_sum,weighted_estimate,weighted_sd,weighted_std_error
INTERSTATE__bin_lead_avg,0.02830750237375398,2.105394931685424,0.002618102082362729,2.504701583265647
INTERSTATE_lead_avg,0.015395383135570763,2.1053907107383485,0.003549638299185747,2.5047027723497566
INTRASTATE_lead_avg,0.059130770314694256,0.7157158903482652,0.002560971241566917,0.3404020283471558
POISONING__bin_lead_avg,0.003172780506441649,0.6844819719630246,0.029864716873254312,1.5149981822612537
POISONING_lead_avg,0.001562915633133835,0.5841972635823842,0.029650549508330265,1.4011056062365905
CLIMATIC_lead_avg,0.9999972561637407,0.4068856951493578,0.02697678752429755,0.07035642752222232
TERRORISM_lead_avg,0.00038846337917505596,0.0015059888637450943,0.0002220118931434255,0.0037997339009733784
TECHNOLOGICAL_lead_avg,0.0008640223522188974,-0.04606483363328239,0.005556739693191267,0.07619516707602995
ECONOMIC_lead_avg,0.09398279530638225,-0.05399982128244138,0.0001293440912660836,0.2510000238428576
ECOLOGICAL__bin_lead_avg,0.2064493356609032,-0.5026895017440403,0.024772525677835503,8.850632021520495
ECOLOGICAL_lead_avg,0.14219298270611294,-0.5249076975868059,0.02875323652866474,10.544049488596938
GEOPHYSICAL_lead_avg,0.2144011585807343,-1.1842991800124851,0.0009068616849373834,0.6608000756791659
GEOPHYSICAL__bin_lead_avg,0.2331623977392441,-1.2200990702111456,0.0010783888338547864,0.7665000929740949
