term,weight_sum,weighted_estimate,weighted_sd,weighted_std_error
INTERSTATE__bin_lead_avg,0.022843008621339384,0.49922704510731913,0.01234506788191242,0.6312044160167458
INTERSTATE_lead_avg,0.012421916849344164,0.4991877089109443,0.01231032923351657,0.6311972812127807
CLIMATIC_lead_avg,0.9980328678040039,0.11279059542599289,0.0018938631647688105,0.025769135980213975
ECONOMIC_lead_avg,0.0774630459523919,0.05691951751997893,0.006394982747020409,0.22735378113826288
GEOPHYSICAL_lead_avg,0.03022974485201255,0.02161990437047544,0.05423106519080016,0.12365877477590054
TERRORISM_lead_avg,0.0003044261782569521,9.974283430439603e-05,5.065093575897971e-06,0.00039999999999999996
TECHNOLOGICAL_lead_avg,0.0006870602293223655,-0.00849243051439811,0.008892131700212889,0.020882762346961087
INTRASTATE_lead_avg,0.005017817384745914,-0.040857224376583984,0.01275255930995612,0.11956131344089897
POISONING_lead_avg,0.0011923485292260234,-0.05818629743699845,0.22366859560737118,1.4444432087346442
POISONING__bin_lead_avg,0.0023799491840983404,-0.11861301075333541,0.24223774846837598,1.875949875656448
GEOPHYSICAL__bin_lead_avg,0.053704376668895396,-0.18434130565165904,0.06996030155880531,0.4030820134500126
ECOLOGICAL_lead_avg,0.2563102955056652,-0.9839005183640254,0.270659449827693,0.8125266638583138
ECOLOGICAL__bin_lead_avg,0.5385884619589939,-1.2497522824070717,0.1692695245352824,0.8484798628950151
